BOM EASY CHECK REV1 - CHIP,,1 batch has 8 chips ,,,,,,,,,,,,,,,,,
#,Parts,Value,Qty,Device,Package,Description,MPN, Unit Price  ,Total Price,Purchase Link,,,,,,,,,
,C50,0.1uF/50V,1,C0805,C0805,Ceramic Capacitor,, ¥0.030 , ¥0.03 ,https://item.szlcsc.com/268703.html,1,,,,,,,,
,"C3, C12, C19, C28, C42, C45, C47",2.2uF,7,C0805,C0805,Ceramic Capacitor,, ¥0.100 , ¥0.70 ,https://item.szlcsc.com/89172.html,1,,,,,,,,
,"C2, C16, C17, C31, C43, C44, C48",10uF,7,C0805,C0805,Ceramic Capacitor,, ¥0.120 , ¥0.84 ,https://item.szlcsc.com/16532.html,1,,,,,,,,
,C14,1uF,1,C1206,C1206,Ceramic Capacitor,, ¥0.140 , ¥0.14 ,https://item.szlcsc.com/349429.html,1,,,,,,,,
,C22,0.47uF,1,C1206,C1206,Ceramic Capacitor,, ¥0.100 , ¥0.10 ,https://item.szlcsc.com/354881.html,1,,,,,,,,
,C30,10uF 25v,1,C1206,C1206,Ceramic Capacitor,, ¥0.310 , ¥0.31 ,https://item.szlcsc.com/10337.html,1,,,,,,,,
,C11,47uF,1,C1206,C1206,Ceramic Capacitor,, ¥0.700 , ¥0.70 ,https://item.szlcsc.com/95232.html,1,,,,,,,,
,C26,100uF,1,C1206,C1206,Ceramic Capacitor,, ¥1.390 , ¥1.39 ,https://item.szlcsc.com/15681.html,1,,,,,,,,
,C51,22uF/63V,1,CAP_ELECTROLYTICPANASONIC_D,PANASONIC_D,Electrolytic Capacitor,, ¥0.600 , ¥0.60 ,https://item.szlcsc.com/245610.html,1,,,,,,,,
,"L1, L2, L4, L5",1.5uH ±20% 9A,4,FXC0630-1R5M,PIS2816,Inductor,FXC0630-1R5M, ¥0.640 , ¥2.56 ,https://item.szlcsc.com/209167.html,1,,,,,,,,
,L3,4.7uH±20% ,1,SPM6530T-4R7M,SPM6530T-4R7M,Inductor,SPM6530T-4R7M, ¥0.920 , ¥0.92 ,https://item.szlcsc.com/77984.html,1,,,,,,,,
,X2,32.768 kHz,1,XTAL-3.2X1.5,XTAL3215,Low cost SMT crystal,, ¥0.940 , ¥0.94 ,https://item.szlcsc.com/33310.html,1,,,,,,,,
,"U1, U5, U8, U11",TPS63020,4,TPS63020,QFN14-3X4MM,Single Inductor Buck-Boost Converter,TPS63020DSJR, ¥7.000 , ¥28.00 ,https://item.szlcsc.com/16162.html,1,,,,,,,,
,U2,AP2114H-3.3V- 1A,1,AP2114H-3.3V- 1A,SOT223,3.3V Low Dropout Voltage Regulator 1A,AP2114H-3.3TRG1, ¥0.880 , ¥0.88 ,https://item.szlcsc.com/162056.html,1,,,,,,,,
,U3,LM5085,1,LM5085,LM5085,Constant On time PFET Buck Switching Controller,LM5085MY/NOPB, ¥10.550 , ¥10.55 ,https://item.szlcsc.com/80966.html,1,,,,,,,,
,U4,MCP4728-E/UN,1,MCP4728-E/UN,SOP50P490X110-10N,"12Bit I2C DAC, QUAD",MCP4728-E/UN, ¥8.000 , ¥8.00 ,https://item.szlcsc.com/109426.html,1,,,https://detail.tmall.com/item.htm?spm=a230r.1.14.4.64f81c83OPTRlo&id=551001629710,,,,,
,U6,ATSAMD21G18A-AU,1,ATSAMD21G18A-AU,QFP50P900X900X120-48N,"Cortex-M0+, 256KB FLASH, 32KB SRAM, 48TQFP",ATSAMD21G18A-AU, ¥28.000 , ¥28.00 ,https://item.szlcsc.com/79760.html,1,,,,,,,,
,U7,SPX3819_3.3V,1,VREG_SOT23-5,SOT23-5,Low Noise 3.3V  Voltage Regulator,SPX3819M5-L-3-3/TR , ¥1.090 , ¥1.09 ,https://item.szlcsc.com/9575.html,1,,,,,,,,
,"U9, U10",LMD128D818,2,LMD128D818,ADC128D818,"12-Bit, 8-Channel, ADC System Monitor with Temperature Sensor",ADC128D818CIMTX/NOPB, ¥45.000 , ¥90.00 ,https://item.szlcsc.com/150383.html,1,,,,,,,,
,U12,DRV8871,1,DRV8871,HSOP8,DRV8871 - 3.6A PWM Motor Driver,DRV8871DDAR , ¥8.650 , ¥8.65 ,https://item.szlcsc.com/76991.html,1,,,,,,,,
,"T1, T2, T3",DS18B20,3,DS18B20,TO92,1 Wire Temperature sensor ,DS18B20, ¥4.620 , ¥13.86 ,https://item.szlcsc.com/348632.html,1,,,,,,,,
,D1,MBR120,1,DIODE-SCHOTTKY,SOD-123,Schottky Diode,MBR120LSF, ¥0.200 , ¥0.20 ,https://item.szlcsc.com/142169.html,1,,,,,,,,
,D2,SK104,1,SK104,SK104,Diode,SK104, ¥0.980 , ¥0.98 ,https://item.szlcsc.com/60552.html,1,,,,,,,,
,Q1,PMV48XP,1,PMV48XP,SOT23-R,P-Channel Mosfet,"PMV48XP,215", ¥0.500 , ¥0.50 ,https://item.szlcsc.com/76685.html,1,,,,,,,,
,"Q2, Q3, Q4, Q5",DMN6140L,4,DMN6140L,SOT91P240X110-3N,N-Channel Mosfet,DMN6140L, ¥0.780 , ¥3.12 ,https://item.szlcsc.com/167649.html,1,,,,,,,,
,Q6,SI7465DP,1,SI7465DP,SI7465,Power MOSFET,SI7465DP-T1_E3, ¥8.630 , ¥8.63 ,https://item.szlcsc.com/152886.html,1,,,,,,,,
,LED1,,1,LEDCHIPLED_0603,CHIPLED_0603,LED,, ¥0.050 , ¥0.05 ,https://detail.tmall.com/item.htm?id=41231498462,,,,,,,,,
,"RESET, SW1, SW2",,3,SMT TACT SWITCH ,EVQ-Q2,SMT Tact Switches,, ¥0.200 , ¥0.60 ,https://item.szlcsc.com/80316.html,1,,,,,,,,
,USB,,1,USB_MICRO_20329_V2,4UCONN_20329_V2,USB Connectors,, ¥0.390 , ¥0.39 ,https://item.szlcsc.com/300259.html,1,,,,,,,,
,JP1,,1,PINHD-1X4,1X04,PIN HEADER,, ¥0.100 , ¥0.10 ,https://item.szlcsc.com/163490.html,1,,,,,,,,
,J2,,1,DCJ0303,DCJ0303,DC POWER JACK,, ¥0.500 , ¥0.50 ,https://item.szlcsc.com/148060.html,1,,,,,,,,
,"TEC1, TEC2, TEC3, TEC4, TEC5",,5,M025MM,SCREWTERMINAL-5MM-2,2-pin 5mm pitch Screw Terminal,, ¥0.300 , ¥1.50 ,https://detail.tmall.com/item.htm?id=44062483363,0.9,,,,,,,,
,SD1,MICROSD,1,MICROSD,MICROSD,Micro-SD / Transflash card holder with SPI pinout,2908-05WB-MG, ¥1.200 , ¥1.20 ,https://item.taobao.com/item.htm?id=532902605150,0,,,,,,,,
,DEBUG,CORTEX_DEBUG_PTH,1,CORTEX_DEBUG_PTH,2X5-PTH-1.27MM,Cortex Debug Connector - 10 pin,2*5 DC3-10P, ¥0.550 , ¥0.55 ,https://detail.tmall.com/item.htm?id=533696212682,0,,,,,,,,
,"CHIP0, CHIP1, CHIP2, CHIP3, CHIP4, CHIP5, CHIP6, CHIP7",6PIN_1.27,8,6PIN_1.27,6X1PIN_1.27,,, ¥0.700 , ¥5.60 ,https://detail.tmall.com/item.htm?id=44062483363,,,,,,,,,
,TP1,,1,Test pad,P1-17,Test pad,, ¥-   , ¥-   ,N.A.,0,,,,,,,,
,"TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19",,18,Test point,Testpoint 1.5mm,Test Point,, ¥-   , ¥-   ,N.A.,0,,,,,,,,
,SJ1,,1,SJW,SJW,SMD solder JUMPER,, ¥-   , ¥-   ,N.A.,0,,,,,,,,
Total,,,,,,,,, ¥225.87 ,,,,,,,,,,
,,,,,,,,,,,70.9,,,,,,,,
