Easy Check Rev 2 BOM ,,,,,,,,,,,,
,,,,,,,,,,,,
Motherboard ,,,,,,,,,,,,
Qty,Parts,Value,Package,Description,,,,,,,,
1,JP1,2X03,2X03,PIN HEADER,,,,,,,,
1,R2,100R,R0402,Resistor,,,,,,,,
1,U1,DS2411,SOT23,Serial number chip,,,,,,,,
1,NTC1,ERT-J1VR103J,C0603K,NTC,,,,,,,,
1,LED1,RED,CHIPLED_0603,LED,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
